Seed,Explainer,Lambda_1,Lambda_2,AUP,AUR,Information,Entropy
42,augmented_occlusion,1.0,1.0,0.755±0.043,0.388±0.025,3.21e+04±1.09e+03,3.44e+04±4.56e+02
42,deep_lift,1.0,1.0,0.920±0.019,0.454±0.011,3.22e+04±1.66e+03,3.05e+04±5.69e+02
42,dyna_mask,1.0,1.0,0.711±0.020,0.763±0.026,1.10e+05±1.92e+03,2.44e+04±3.84e+02
42,extremal_mask,1.0,1.0,0.885±0.030,0.781±0.013,2.80e+05±1.21e+04,7.95e+03±4.748e+02
42,fit,1.0,1.0,0.421±0.013,0.549±0.017,7.79e+04±5.96e+03,3.33e+04±3.17e+02
42,gradient_shap,1.0,1.0,0.849±0.030,0.414±0.015,2.70e+04±1.42e+03,2.83e+04±6.20e+02
42,integrated_gradients,1.0,1.0,0.918±0.019,0.454±0.011,3.13e+04±1.50e+03,3.04e+04±5.44e+02
42,lime,1.0,1.0,0.932±0.017,0.438±0.008,2.91e+04±1.55e+03,2.87e+04±6.97e+02
42,occlusion,1.0,1.0,0.866±0.032,0.393±0.006,2.72e+04±1.04e+03,2.83e+04±4.06e+02
42,retain,1.0,1.0,0.645±0.088,0.334±0.013,1.68e+04±1.27e+03,2.57e+04±1.10e+03
