Seed,Fold,Explainer,Lambda_1,Lambda_2,AUP,AUR,Information,Entropy,AUROC,AUPRC
42,2,deep_lift,1.0,1.0,0.9336,0.3154,2.851e+04,2.958e+04,0.9243,0.889
42,3,deep_lift,1.0,1.0,0.9299,0.333,3.032e+04,3.018e+04,0.9261,0.8917
42,1,deep_lift,1.0,1.0,0.9324,0.3224,2.915e+04,2.995e+04,0.9268,0.8918
42,0,deep_lift,1.0,1.0,0.9335,0.3327,3.032e+04,3.014e+04,0.9291,0.8965
42,2,dyna_mask,1.0,1.0,0.3759,0.7728,1.051e+05,2.536e+04,0.6197,0.4182
42,3,dyna_mask,1.0,1.0,0.375,0.7685,1.049e+05,2.529e+04,0.6167,0.4189
42,1,dyna_mask,1.0,1.0,0.375,0.7726,1.054e+05,2.532e+04,0.6157,0.4155
42,0,dyna_mask,1.0,1.0,0.3731,0.7712,1.049e+05,2.528e+04,0.6164,0.4181
42,3,extremal_mask,1.0,1.0,0.901,0.7609,2.96e+05,7.285e+03,0.9081,0.8801
42,0,extremal_mask,1.0,1.0,0.9167,0.7638,2.954e+05,7.595e+03,0.913,0.893
42,2,extremal_mask,1.0,1.0,0.9115,0.7546,2.872e+05,7.641e+03,0.9085,0.8848
42,1,extremal_mask,1.0,1.0,0.8967,0.764,2.978e+05,7.332e+03,0.9077,0.8783
42,4,deep_lift,1.0,1.0,0.9273,0.3356,3.054e+04,3.032e+04,0.9256,0.889
42,4,dyna_mask,1.0,1.0,0.3811,0.7716,1.057e+05,2.52e+04,0.6297,0.4282
42,4,extremal_mask,1.0,1.0,0.892,0.7557,2.898e+05,7.674e+03,0.9045,0.8727
42,0,fit,1.0,1.0,0.5186,0.622,8.364e+04,3.361e+04,0.846,0.5958
42,1,fit,1.0,1.0,0.4856,0.5718,7.389e+04,3.364e+04,0.7973,0.5411
42,2,fit,1.0,1.0,0.4651,0.4618,6.412e+04,3.012e+04,0.7419,0.4856
42,3,fit,1.0,1.0,0.4738,0.6052,7.954e+04,3.413e+04,0.8127,0.5395
42,3,gradient_shap,1.0,1.0,0.8819,0.288,2.601e+04,2.793e+04,0.8472,0.7704
42,0,gradient_shap,1.0,1.0,0.8888,0.287,2.589e+04,2.789e+04,0.851,0.7806
42,2,gradient_shap,1.0,1.0,0.8898,0.2735,2.46e+04,2.734e+04,0.8484,0.7721
42,1,gradient_shap,1.0,1.0,0.8882,0.2786,2.5e+04,2.767e+04,0.8492,0.775
42,1,integrated_gradients,1.0,1.0,0.9322,0.3174,2.858e+04,2.983e+04,0.926,0.8899
42,2,integrated_gradients,1.0,1.0,0.9331,0.3109,2.803e+04,2.947e+04,0.9233,0.8868
42,0,integrated_gradients,1.0,1.0,0.9331,0.327,2.964e+04,3.003e+04,0.9278,0.8941
42,3,integrated_gradients,1.0,1.0,0.9295,0.328,2.974e+04,3.008e+04,0.925,0.8895
42,0,augmented_occlusion,1.0,1.0,0.8724,0.3526,3.051e+04,3.4e+04,0.9345,0.8624
42,3,augmented_occlusion,1.0,1.0,0.8573,0.3544,3.071e+04,3.409e+04,0.9231,0.8378
42,2,augmented_occlusion,1.0,1.0,0.8679,0.3403,2.926e+04,3.36e+04,0.9259,0.8428
42,1,augmented_occlusion,1.0,1.0,0.8688,0.351,3.026e+04,3.402e+04,0.9329,0.8554
42,3,occlusion,1.0,1.0,0.9139,0.286,2.589e+04,2.779e+04,0.8818,0.8266
42,0,occlusion,1.0,1.0,0.9209,0.2862,2.59e+04,2.78e+04,0.8871,0.8389
42,2,occlusion,1.0,1.0,0.921,0.2745,2.478e+04,2.733e+04,0.8867,0.8327
42,1,occlusion,1.0,1.0,0.9199,0.2817,2.541e+04,2.77e+04,0.8892,0.8362
42,4,fit,1.0,1.0,0.4255,0.62,8.501e+04,3.344e+04,0.7505,0.4838
42,4,gradient_shap,1.0,1.0,0.8831,0.29,2.619e+04,2.806e+04,0.8511,0.7752
42,4,integrated_gradients,1.0,1.0,0.9264,0.33,2.986e+04,3.023e+04,0.9242,0.8863
42,4,augmented_occlusion,1.0,1.0,0.8708,0.3555,3.069e+04,3.422e+04,0.9356,0.8616
42,4,occlusion,1.0,1.0,0.9194,0.2881,2.609e+04,2.786e+04,0.89,0.8379
42,0,retain,1.0,1.0,0.787,0.3294,2.735e+04,3.173e+04,0.883,0.7661
42,1,retain,1.0,1.0,0.6684,0.3007,2.379e+04,3.102e+04,0.8533,0.6879
42,2,retain,1.0,1.0,0.7636,0.2942,2.39e+04,3.024e+04,0.8584,0.7351
42,3,retain,1.0,1.0,0.6876,0.279,2.227e+04,2.955e+04,0.8466,0.682
42,4,retain,1.0,1.0,0.4992,0.1986,1.432e+04,2.495e+04,0.8132,0.6183
42,3,lime,1.0,1.0,0.9478,0.3048,2.766e+04,2.847e+04,0.924,0.89
42,4,lime,1.0,1.0,0.9463,0.3081,2.792e+04,2.867e+04,0.9245,0.89
42,2,lime,1.0,1.0,0.9513,0.2919,2.637e+04,2.802e+04,0.9255,0.892
42,0,lime,1.0,1.0,0.9519,0.3037,2.75e+04,2.847e+04,0.9281,0.8967
42,1,lime,1.0,1.0,0.9518,0.2967,2.683e+04,2.818e+04,0.9261,0.8935
