Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,3,Average,0.1,extremal_mask,1.0,1.0,0.9983,-0.002205,0.09203,0.002512,0.01223
42,3,Average,0.2,extremal_mask,1.0,1.0,0.9965,-0.003915,0.09006,0.004482,0.01401
42,3,Average,0.3,extremal_mask,1.0,1.0,0.9957,-0.005621,0.08823,0.006315,0.01497
42,3,Average,0.4,extremal_mask,1.0,1.0,0.9941,-0.007391,0.08647,0.008067,0.01569
42,3,Average,0.5,extremal_mask,1.0,1.0,0.9904,-0.01009,0.08432,0.01022,0.01632
42,3,Average,0.6,extremal_mask,1.0,1.0,0.9891,-0.01055,0.08418,0.01036,0.01648
42,3,Zeros,0.1,extremal_mask,1.0,1.0,0.9891,-0.01373,0.08031,0.01423,0.08595
42,3,Zeros,0.2,extremal_mask,1.0,1.0,0.9815,-0.0225,0.07454,0.02,0.1176
42,3,Zeros,0.3,extremal_mask,1.0,1.0,0.9761,-0.031,0.07426,0.02028,0.1385
42,3,Zeros,0.4,extremal_mask,1.0,1.0,0.9717,-0.03814,0.08198,0.01256,0.1536
42,3,Zeros,0.5,extremal_mask,1.0,1.0,0.97,-0.04588,0.1089,-0.01434,0.1622
42,3,Zeros,0.6,extremal_mask,1.0,1.0,0.9685,-0.04687,0.1298,-0.03528,0.1612
42,1,Average,0.1,extremal_mask,1.0,1.0,0.998,-0.001173,0.0844,0.001258,0.008213
42,1,Average,0.2,extremal_mask,1.0,1.0,0.9965,-0.002143,0.08339,0.002268,0.009078
42,1,Average,0.3,extremal_mask,1.0,1.0,0.9939,-0.003016,0.08302,0.002639,0.009727
42,1,Average,0.4,extremal_mask,1.0,1.0,0.9928,-0.004,0.08221,0.00345,0.01012
42,1,Average,0.5,extremal_mask,1.0,1.0,0.9904,-0.005398,0.08144,0.004226,0.01033
42,1,Average,0.6,extremal_mask,1.0,1.0,0.9893,-0.005329,0.08234,0.003326,0.01015
42,1,Zeros,0.1,extremal_mask,1.0,1.0,0.9904,-0.007756,0.07773,0.007932,0.03144
42,1,Zeros,0.2,extremal_mask,1.0,1.0,0.9856,-0.01475,0.07217,0.01349,0.05654
42,1,Zeros,0.3,extremal_mask,1.0,1.0,0.9813,-0.02116,0.07089,0.01477,0.07322
42,1,Zeros,0.4,extremal_mask,1.0,1.0,0.9759,-0.02749,0.07395,0.01171,0.08443
42,1,Zeros,0.5,extremal_mask,1.0,1.0,0.973,-0.03425,0.09136,-0.005698,0.08953
42,1,Zeros,0.6,extremal_mask,1.0,1.0,0.9722,-0.03583,0.1087,-0.02308,0.08886
42,4,Average,0.1,extremal_mask,1.0,1.0,0.9967,-0.00231,0.09168,0.002457,0.01037
42,4,Average,0.2,extremal_mask,1.0,1.0,0.9937,-0.004008,0.08989,0.004256,0.01281
42,4,Average,0.3,extremal_mask,1.0,1.0,0.9917,-0.006307,0.08742,0.006719,0.01394
42,4,Average,0.4,extremal_mask,1.0,1.0,0.99,-0.008365,0.08592,0.008219,0.01481
42,4,Average,0.5,extremal_mask,1.0,1.0,0.9867,-0.01149,0.08358,0.01056,0.01529
42,4,Average,0.6,extremal_mask,1.0,1.0,0.987,-0.01201,0.08339,0.01076,0.01552
42,4,Zeros,0.1,extremal_mask,1.0,1.0,0.9878,-0.01419,0.07929,0.01485,0.04136
42,4,Zeros,0.2,extremal_mask,1.0,1.0,0.9815,-0.02381,0.07352,0.02062,0.07874
42,4,Zeros,0.3,extremal_mask,1.0,1.0,0.9767,-0.03269,0.07493,0.01921,0.1019
42,4,Zeros,0.4,extremal_mask,1.0,1.0,0.9717,-0.03979,0.08652,0.007624,0.1195
42,4,Zeros,0.5,extremal_mask,1.0,1.0,0.9682,-0.04635,0.1264,-0.03231,0.1293
42,4,Zeros,0.6,extremal_mask,1.0,1.0,0.9676,-0.04674,0.153,-0.05886,0.1315
42,2,Average,0.1,extremal_mask,1.0,1.0,0.9976,-0.0006995,0.08714,0.0006526,0.00253
42,2,Average,0.2,extremal_mask,1.0,1.0,0.9957,-0.001534,0.08631,0.001486,0.00306
42,2,Average,0.3,extremal_mask,1.0,1.0,0.9946,-0.002407,0.08548,0.002314,0.003936
42,2,Average,0.4,extremal_mask,1.0,1.0,0.9933,-0.003184,0.08486,0.00293,0.004582
42,2,Average,0.5,extremal_mask,1.0,1.0,0.9902,-0.003726,0.08523,0.002564,0.004931
42,2,Average,0.6,extremal_mask,1.0,1.0,0.9893,-0.003787,0.08599,0.001801,0.004803
