Seed,Fold,Explainer,Lambda_1,Lambda_2,AUP,AUR,Information,Entropy,AUROC,AUPRC
42,4,dyna_mask,1,1,0.3411,0.5714,1.24E+05,9.36E+03,0.5362,0.3894
42,3,dyna_mask,1,1,0.3383,0.5671,1.23E+05,9.16E+03,0.5332,0.3935
42,4,extremal_mask,1,1,0.9019,0.6563,1.53E+05,1.62E+04,0.897,0.8194
42,3,extremal_mask,1,1,0.9135,0.6698,1.55E+05,1.54E+04,0.9,0.8318
42,1,dyna_mask,1,1,0.3449,0.5701,1.21E+05,9.57E+03,0.5404,0.3905
42,2,dyna_mask,1,1,0.3396,0.5683,1.24E+05,9.20E+03,0.5348,0.3985
42,2,extremal_mask,1,1,0.9165,0.664,1.48E+05,1.64E+04,0.9024,0.8375
42,1,extremal_mask,1,1,0.9083,0.6553,1.48E+05,1.60E+04,0.8968,0.8222
42,0,dyna_mask,1,1,0.3422,0.5686,1.23E+05,9.32E+03,0.5389,0.3959
42,0,extremal_mask,1,1,0.9258,0.6852,1.64E+05,1.55E+04,0.9097,0.8541
