Seed,Fold,Explainer,Lambda_1,Lambda_2,AUP,AUR,Information,Entropy,AUROC,AUPRC
42,0,dyna_mask,1.0,1.0,0.3731,0.7712,1.049e+05,2.528e+04,0.6164,0.4181
42,0,dyna_mask,1.0,1.0,0.3731,0.7712,1.049e+05,2.528e+04,0.6164,0.4181
42,1,dyna_mask,1.0,1.0,0.375,0.7726,1.054e+05,2.532e+04,0.6157,0.4155
42,1,dyna_mask,1.0,1.0,0.375,0.7726,1.054e+05,2.532e+04,0.6157,0.4155
42,1,dyna_mask,1.0,1.0,0.375,0.7726,1.054e+05,2.532e+04,0.6157,0.4155
42,2,dyna_mask,1.0,1.0,0.3759,0.7728,1.051e+05,2.536e+04,0.6197,0.4182
42,2,dyna_mask,1.0,1.0,0.3759,0.7728,1.051e+05,2.536e+04,0.6197,0.4182
42,2,dyna_mask,1.0,1.0,0.3759,0.7728,1.051e+05,2.536e+04,0.6197,0.4182
42,3,dyna_mask,1.0,1.0,0.375,0.7685,1.049e+05,2.529e+04,0.6167,0.4189
42,3,dyna_mask,1.0,1.0,0.375,0.7685,1.049e+05,2.529e+04,0.6167,0.4189
42,3,dyna_mask,1.0,1.0,0.375,0.7685,1.049e+05,2.529e+04,0.6167,0.4189
42,4,dyna_mask,1.0,1.0,0.3811,0.7716,1.057e+05,2.52e+04,0.6297,0.4282
42,4,dyna_mask,1.0,1.0,0.3811,0.7716,1.057e+05,2.52e+04,0.6297,0.4282
42,4,dyna_mask,1.0,1.0,0.3811,0.7716,1.057e+05,2.52e+04,0.6297,0.4282
42,0,extremal_mask,1.0,1.0,0.9167,0.7638,2.954e+05,7.595e+03,0.913,0.893
42,0,extremal_mask,1.0,1.0,0.9167,0.7638,2.954e+05,7.595e+03,0.913,0.893
42,0,extremal_mask,1.0,1.0,0.9167,0.7638,2.954e+05,7.595e+03,0.913,0.893
42,0,extremal_mask,1.0,1.0,0.9167,0.7638,2.954e+05,7.595e+03,0.913,0.893
42,1,extremal_mask,1.0,1.0,0.8967,0.764,2.978e+05,7.332e+03,0.9077,0.8783
42,1,extremal_mask,1.0,1.0,0.8967,0.764,2.978e+05,7.332e+03,0.9077,0.8783
42,1,extremal_mask,1.0,1.0,0.8967,0.764,2.978e+05,7.332e+03,0.9077,0.8783
42,2,extremal_mask,1.0,1.0,0.9115,0.7546,2.872e+05,7.641e+03,0.9085,0.8848
42,2,extremal_mask,1.0,1.0,0.9115,0.7546,2.872e+05,7.641e+03,0.9085,0.8848
42,2,extremal_mask,1.0,1.0,0.9115,0.7546,2.872e+05,7.641e+03,0.9085,0.8848
42,3,extremal_mask,1.0,1.0,0.901,0.7609,2.96e+05,7.285e+03,0.9081,0.8801
42,3,extremal_mask,1.0,1.0,0.901,0.7609,2.96e+05,7.285e+03,0.9081,0.8801
42,3,extremal_mask,1.0,1.0,0.901,0.7609,2.96e+05,7.285e+03,0.9081,0.8801
42,4,extremal_mask,1.0,1.0,0.892,0.7557,2.898e+05,7.674e+03,0.9045,0.8727
42,4,extremal_mask,1.0,1.0,0.892,0.7557,2.898e+05,7.674e+03,0.9045,0.8727
42,4,extremal_mask,1.0,1.0,0.892,0.7557,2.898e+05,7.674e+03,0.9045,0.8727
42,0,extremal_mask,1.0,1.0,0.9167,0.7638,2.954e+05,7.595e+03,0.913,0.893
42,0,extremal_mask,1.0,1.0,0.9167,0.7638,2.954e+05,7.595e+03,0.913,0.893
42,0,extremal_mask,1.0,1.0,0.9167,0.7638,2.954e+05,7.595e+03,0.913,0.893
